Do | [duː] | Делать, выполнять, заниматься
Every | [ˈɛvri] | Каждый, все, всякий любой
Day | [deɪ] | День, сутки, время, дневной
Cinema | [ˈsɪnəmə] | Кино, кинотеатр, кинематограф
Park | [pɑːk] | Парк, парковать
Often | [ˈɒf(ə)n] | Часто, зачастую
Dog | [dɒg] | Собака, пёс, собачка, кобель
Cat | [kæt] | Кошка, кот, кат
Money | [ˈmʌni] | Деньги
Dollar | [ˈdɒlə] | Доллар
Offer | [ˈɒfə] | Предложение, предлагать
Watch | [wɒʧ] | Часы, вахта, наблюдение, дозор, смотреть, наблюдать
TV | [ˌtiːˈviː] | Телевидение, телевизор
Television | [ˈtɛlɪˌvɪʒən] | Телевидение
Teach | [tiːʧ] | Учить, научить, преподавать, обучать
Miss | [mɪs] | Мисс, промах, скучать, пропускать
Miss you | [mɪs] [juː] | Скучать по тебе
Always | [ˈɔːlweɪz] | Всегда, постоянно, вечно
Finish | [ˈfɪnɪʃ] | Отделка, конец, финиш, окончание, финишировать, заканчивать
His | [hɪz] | Его, свой, своё
On time | [ɒn] [taɪm] | Вовремя
Usually | [ˈjuːʒʊəli] | Обычно, как правило, обыкновенно
Relax | [rɪˈlæks] | Отдыхать, расслабляться
At home | [æt] [həʊm] | Дома, у себя
Rest | [rɛst] | Отдых, остальное, остаток, покой, отдыхать
Have a rest | [hæv] [ə] [rɛst] | Отдохнуть
Try | [traɪ] | Попытка, попытаться, стараться, пробовать
Learn | [lɜːn] | Учиться, научиться, учить, узнавать
Find | [faɪnd] | Находка, находить
Job | [ʤɒb] | Работа, задание
Find a job | [faɪnd] [ə] [ʤɒb] | Найти работу
Play | [pleɪ] | Игра, пьеса, спектакль, играть
Computer | [kəmˈpjuːtə] | Компьютер, ЭВМ, ПК, компьютерный
Game | [geɪm] | Игра, партия, игровой
