It doesn't work | [ɪt] [dʌznt] [wɜːk] | Это не работает
It doesn't seem strange | [ɪt] [dʌznt] [siːm] [streɪnʤ] | Это не кажется странным
He doesn't know it | [hiː] [dʌznt] [nəʊ] [ɪt] | Он не знает это
It doesn't help me | [ɪt] [dʌznt] [hɛlp] [miː] | Это не помогает мне
She doesn't want to discuss it | [ʃiː] [dʌznt] [wɒnt] [tuː] [dɪsˈkʌs] [ɪt] | Она не хочет обсуждать это
I don't want to think about it | [aɪ] [dəʊnt] [wɒnt] [tuː] [θɪŋk] [əˈbaʊt] [ɪt] | Я не хочу думать об этом
I don't want to tell you about this problem | [aɪ] [dəʊnt] [wɒnt] [tuː] [tɛl] [juː] [əˈbaʊt] [ðɪs] [ˈprɒbləm] | Я не хочу говорить тебе об этой проблеме
I don't want to tell you this thing | [aɪ] [dəʊnt] [wɒnt] [tuː] [tɛl] [juː] [ðɪs] [θɪŋ] | Я не хочу говорить тебе эту вещь
We don't understand | [wiː] [dəʊnt] [ˌʌndəˈstænd] | Мы не понимаем
You don't try to learn English | [juː] [dəʊnt] [traɪ] [tuː] [lɜːn] [ˈɪŋglɪʃ] | Ты не пытаешься выучить английский
They don't help me | [ðeɪ] [dəʊnt] [hɛlp] [miː] | Они мне не помогают
I agree with you | [aɪ] [əˈgriː] [wɪð] [juː] | Я согласен с тобой
I disagree with you | [aɪ] [ˌdɪsəˈgriː] [wɪð] [juː] | Я не согласен с тобой
I don't like it | [aɪ] [dəʊnt] [laɪk] [ɪt] | Мне не нравится это
I don't want to study there | [aɪ] [dəʊnt] [wɒnt] [tuː] [ˈstʌdi] [ðeə] | Я не хочу учиться там
I want to discuss it | [aɪ] [wɒnt] [tuː] [dɪsˈkʌs] [ɪt] | Я хочу обсудить это
I don't want to discuss it | [aɪ] [dəʊnt] [wɒnt] [tuː] [dɪsˈkʌs] [ɪt] | Я не хочу обсуждать это
I want to do it right now | [aɪ] [wɒnt] [tuː] [duː] [ɪt] [raɪt] [naʊ] | Я хочу сделать это прямо сейчас
I don't want to do it right now | [aɪ] [dəʊnt] [wɒnt] [tuː] [duː] [ɪt] [raɪt] [naʊ] | Я не хочу делать это прямо сейчас
I want to do it later | [aɪ] [wɒnt] [tuː] [duː] [ɪt] [ˈleɪtə] | Я хочу сделать это позже
I don't want to say it | [aɪ] [dəʊnt] [wɒnt] [tuː] [seɪ] [ɪt] | Я не хочу говорить это
