Year | [jɪə] | Год
Hard-working | [ˈhɑːdˌwɜːkɪŋ] | Трудолюбивый
Busy | [ˈbɪzi] | Занятой, заниматься
Moment | [ˈməʊmənt] | Момент, минутку!
At the moment | [æt] [ðə] [ˈməʊmənt] | Сейчас, в настоящее время, в данный момент
Rule | [ruːl] | Управлять, править, правило
Men | [mɛn] | Люди, мужчины
Designer | [dɪˈzaɪnə] | Дизайнер, конструктор
Women | [ˈwɪmɪn] | Женщины
Ineffective | [ˌɪnɪˈfɛktɪv] | Неэффективный
Feeling | [ˈfiːlɪŋ] | Чувство, ощущение
Power | [ˈpaʊə] | Сила, власть, мощность, энергия, способность, силовой
Russian | [ˈrʌʃ(ə)n] | Русский
American | [əˈmɛrɪkən] | Американский, американец
One | [wʌn] | 1
Two | [tuː] | 2
Three | [θriː] | 3
Four | [fɔː] | 4
Five | [faɪv] | 5
Six | [sɪks] | 6
Seven | [ˈsɛvn] | 7
Eight | [eɪt] | 8
Nine | [naɪn] | 9
Ten | [tɛn] | 10
Eleven | [ɪˈlɛvn] | 11
Twelve | [twɛlv] | 12
Thirteen | [ˈθɜːˈtiːn] | 13
Fourteen | [ˈfɔːˈtiːn] | 14
Fifteen | [ˈfɪfˈtiːn] | 15
Sixteen | [ˈsɪksˈtiːn] | 16
Seventeen | [ˈsɛvnˈtiːn] | 17
Eighteen | [ˌeɪˈtiːn] | 18
Nineteen | [ˈnaɪnˈtiːn] | 19
Twenty | [ˈtwɛnti] | 20
Thirty | [ˈθɜːti] | 30
Forty | [ˈfɔːti] | 40
Fifty | [ˈfɪfti] | 50
Sixty | [ˈsɪksti] | 60
Seventy | [ˈsɛvnti] | 70
Eighty | [ˈeɪti] | 80
Ninety | [ˈnaɪnti] | 90
A one hundred | [ə] [wʌn] [ˈhʌndrəd] | 100
Old | [əʊld] | Старый, старинный
